year,month,precip_mm,precip_accum,spi,spi_class
2023,2,168.82118633594038,3755.103849154481,1.2948496251527324,Moderately wet
2023,3,332.1398243307706,3768.4299024835545,1.2603345812948379,Moderately wet
2023,4,400.78987846516907,3669.0007463424877,1.1047264240043848,Moderately wet
2023,5,387.60892620968366,3565.525640952259,0.9334096090570279,Near normal
2023,6,212.53732664878012,3388.3214217182463,0.5568850687843839,Near normal
2023,7,332.4634643126414,3469.784569533451,0.7531922424626996,Near normal
2023,8,201.81315960847382,3467.4024736915308,0.702071056255941,Near normal
2023,9,203.86576228509887,3446.7158767901983,0.6641237061898658,Near normal
2023,10,331.00315404745817,3359.320404354232,0.5040313381822672,Near normal
2023,11,360.75011109785197,3550.7097092026916,0.9193928838347438,Near normal
2023,12,483.0879716418653,3807.3317762185457,1.453102900169538,Moderately wet
2024,1,249.47180641492116,3664.3525713986546,1.1520303775344245,Moderately wet
2024,2,308.09663039862363,3803.628015461338,1.3796242397318224,Moderately wet
2024,3,199.05456807113933,3670.5427592017068,1.0976425611461245,Moderately wet
2024,4,326.93644411770384,3596.6893248542415,0.9830361465385685,Near normal
2024,5,492.31149313507916,3701.3918917796373,1.1770399253295387,Moderately wet
2024,6,277.1159750431741,3765.9705401740307,1.228919831751361,Moderately wet
2024,7,123.91199821412796,3557.419074075517,0.9206497046255575,Near normal
2024,8,135.82896566773186,3491.4348801347755,0.7460649017835408,Near normal
2024,9,131.6682647550771,3419.2373826047533,0.6130687392827207,Near normal
2024,10,307.8379523446384,3396.0721809019337,0.5718074870627333,Near normal
2024,11,139.8188107561613,3175.140880560243,0.22285410672878553,Near normal
2024,12,350.317493194024,3042.3704021124017,-0.01035668327291677,Near normal
2025,1,365.091371379119,3157.9899670766,0.21478972844119648,Near normal
2025,2,506.60544444236155,3356.4987811203373,0.569556206172339,Near normal
2025,3,381.06351606579966,3538.507729114998,0.8736136069810038,Near normal
2025,4,367.078988474777,3578.6502734720707,0.9524284910160226,Near normal
2025,5,498.772463316081,3585.1112436530725,0.968902444809144,Near normal
2025,6,230.89973717966998,3538.8950057895686,0.8304785063171567,Near normal
2025,7,153.82580019456796,3568.808807770009,0.9422132985639768,Near normal
2025,8,109.99449471812649,3542.974336820403,0.8397433741086526,Near normal
2025,9,128.60441557394518,3539.9104876392717,0.8353015026252618,Near normal
2025,10,370.1530992579225,3602.2256345525557,0.9432679624173351,Near normal
2025,11,373.3719131372877,3835.778736933682,1.416256076531336,Moderately wet
2025,12,169.15338941274442,3654.6146331524023,1.177590746239747,Moderately wet
